heading,source,content
"Realme 10 Pro+ Spotted on BIS, NBTC, More Certifications Sites, May Launch Soon: Report","Written by Siddhant Chandra , Edited by Siddharth Suvarna  | Thursday October 13, 2022","Realme 10 Pro+ has been reportedly spotted on BIS, NBTC, EEC, and TKDN certification sites. This smartphone is said to have the model number RMX3686. Based on these listings, it is expected to soon launch globally."
"Five Delhi Government Schools Among Top 10 In Country, Manish Sisodia Praises Principal Training Programme","Reported by Press Trust of India | Thursday October 13, 2022","""It is a matter of great pride and a result of hard work by principals, teachers and students. All the principals of these schools were provided world-class training in leading institutes such as IIM Ahmedabad, Cambridge University among others,"" Manish Sisodia said"
"Donald Trump's Truth Social App Approved on Google Play Store, Months After App Store Debut","Reuters   | Thursday October 13, 2022","Donald Trump's Truth Social app, the social media app launched by the former US President after his account was permanently suspended on Twitter, has been approved for distribution in the Google Play store. The company had previously stated that the app, which launched in the US in Apple's App Store in February, had not previously been available in the Play Store due to insufficient content moderation."
"Tata Group, Singapore Airlines In Talks Over Vistara And Air India Integration","Reuters   | Thursday October 13, 2022",Singapore Airlines Ltd said on Thursday it was in confidential discussions with India's Tata Group regarding a potential deal which may involve the integration of Vistara and Air India.
B.Com Graduate Sells Idli Sambhar On Bike; Here's Why (Video Inside),"Priyaja Bakshi   | Thursday October 13, 2022","A B.Com graduate is selling idli sambhar on his bike, and the story behind his business is quite heart-warming."
"Dear Sonakshi Sinha, ""Watch And Learn"" How To Prank People From Zaheer Iqbal","Edited by Jyothi Jha  | Thursday October 13, 2022, New Delhi","""The stupid stuff we did while filming,"" wrote Zaheer Iqbal"
,,
"Sensex, Nifty Fall Over 0.6% On Global Gloom, A Day After A Sharp Rally","Edited by Rahul Karunakar  | Thursday October 13, 2022","Stock Market India: Equity benchmarks fell on Thursday, tracking a broader risk aversion sentiment."
"Karwa Chauth 2022: Inside Shilpa Shetty, Raveena Tandon's Daytime Festivities With Friends","Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Raveena Tandon shared pictures and videos from the festivities
"KL Rahul's 74 In Vain as Western Australia Stun India In Second Practice Match, Win By 32 Runs","Asian News International   | Thursday October 13, 2022","Rahul played some powerful shots in the latter part of his innings, smashing 21 runs off the 17th over giving the team a glimmer of hope but was dismissed by Andrew Tye ending India's hope of winning the match."
,,
5 Quick And Easy Cabbage Recipes For Weekday Dinner,"Gauri Rohatgi   | Thursday October 13, 2022",Here we bring you 5 quick and easy cabbage recipes that are just perfect for a weekday dinner. Take a look below.
"Starfield Dialogue Amount Is Four Times That of Skyrim’s, Persuasion System Returns","Written by Rahul Chettiyar , Edited by Akhil Arora,David Delima  | Thursday October 13, 2022","Starfield’s dialogue amount is quadruple that of The Elder Scrolls V: Skyrim. Bethesda director Todd Howard filmed an in-house interview, addressing some fan questions, in regard to character builds and dialogues. Starfield draws inspiration from classic Bethesda games, to add a refined, choice-based dialogue system, where you spend points to persuade an NPC. It was further revealed that Starfield had closed 250,00 lines of dialogue, which is four times that of Skyrim — standing at 60,000. Starfield launches early 2023, across PC and Xbox Series S/X."
Vietnam's F1 Track Abandoned As Hopes Fade For Debut Grand Prix,"Agence France-Presse   | Thursday October 13, 2022","Fenced off to the public and dotted with plastic waste, Hanoi's motor race circuit lies largely abandoned while hopes fade that Vietnam's capital will ever host a Formula One grand prix"
Rupee Weakens Slightly To 82.39 As RBI Steps In To Limit Further Losses,"Edited by Rahul Karunakar  | Thursday October 13, 2022",The rupee weakened a touch on Thursday as the Reserve Bank of India stepped-in to limit further losses in the domestic currency.
OpenSea NFT Marketplace Launches Support for Avalanche NFTs on Its Platform,"Written by Shomik Sen Bhattacharjee , Edited by Siddharth Suvarna  | Thursday October 13, 2022","OpenSea has added support for Avalanche, bringing the total number of supported blockchains on OpenSea to seven. Users can now display, list, and trade their Avalanche-based NFTs on OpenSea."
"CBSE Class 12 Exam 2023 From February 15; ""Datesheet Is Fake,"" Says Official","Edited by Arnab Mitra  | Thursday October 13, 2022","CBSE 10th, 12th Exams 2023: CBSE official termed the Class 12 datesheet as fake, saying, ""Class 10, 12 datesheets will be released soon, the exam schedule circulating over WhatsApp is fake."""
"NEET PG 2022 Counselling: Round 2 Registration, Choice Filling Ends Tomorrow","Written by Arpita Das  | Thursday October 13, 2022",The NEET PG counselling round 2 registration link is available on the official website and candidates can register till tomorrow.
"Motorola Edge 30 Ultra, Edge 30 Fusion Receive 5G Support in India, More Smartphones to Follow","Written by Siddhant Chandra , Edited by Siddharth Suvarna  | Thursday October 13, 2022",Motorola has rolled out the OTA updates enabling 5G support on Motorola Edge 30 Ultra and Edge 30 Fusion. The company has revealed the list of smartphones that will be receiving 5G support by the first week of November.
"GATE 2023 Last Date To Register With Late Fee Tomorrow; Papers, Syllabus, Other Details","Edited by Mridusmita Deka  | Thursday October 13, 2022",GATE 2023 Application: Candidates can register for GATE 2023 and can apply online at gate.iitk.ac.in with the payment of a late fee.
"Bitcoin Holds Firm Around $19,000 in Anticipation of US CPI Figures","Written by Shomik Sen Bhattacharjee , Edited by Siddharth Suvarna  | Thursday October 13, 2022","Crypto traded sideways again, and traders were sidelined, while the markets wait for key economic data to drop Thursday morning. Traditional financial markets experienced a similar story in trading on Wednesday."
Thank God (Diwali) Trailer: Ajay Devgn As Modern Day Chitragupt Is Sidharth Malhotra's Worst Nightmare,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Ajay Devgn is here to teach a lesson to Sidharth Malhotra
"Hey Kapil Sharma Fans, Help Him Choose Instagram Display Pic From This Album","Edited by Jyothi Jha  | Thursday October 13, 2022, New Delhi","""Which picture should be my profile picture on insta,"" wrote Kapil"
,,
"""Can't Be An Administrator Forever"": Sourav Ganguly All But Makes It Clear","NDTV Sports Desk   | Thursday October 13, 2022",BCCI president Sourav Ganguly has confirmed that he will 'move on to something else' after his term in the Indian board concludes.
Pooja Hegde Celebrates Her Birthday With Co-Star Salman Khan. See Pics,"Thursday October 13, 2022",Pooja Hegde is currently shooting for Kisi Ka Bhai Kisi Ki Jaan
World Egg Day 2022: 7 Delicious Ways To Revamp The Classic Omelette,"Aditi Ahuja   | Thursday October 13, 2022",World Egg Day: October 14 is celebrated as World Egg Day. Here are some recipes to revamp the classic omelette and give it a new and unique twist.
,,
FIFA Women's U-17 World Cup: India Look To Salvage Pride Against Morocco,"Press Trust of India   | Thursday October 13, 2022","A crushing 0-8 defeat in the opening match denting their confidence severely, India would look to pick up the pieces and salvage some pride when they play Morocco in their second group match of the FIFA Women's U-17 World Cup on Friday"
"'Pathooty' Robot Designed by 17-Year-Old Kerala Student Serves Food, Delivers Newspapers: Details","ANI   | Thursday October 13, 2022","Pathooty, a robot built by a 17-year-old in Kerala, is capable of delivering newspapers and serving food. The student, Mohammad Shiad, studies computer science in Kannur, Kerala. It was built as part of a study project in school, and is comprised of a plastic stool, aluminium sheet, female dummy, and a serving plate. Meanwhile, the mobile application was developed through an app from the Massachusetts Institute of Technology (MIT) along with an ATMega microcontroller."
iQoo Neo 7 Confirmed to Pack MediaTek Dimensity 9000+ SoC Ahead of October 20 Launch,"Written by Nithya P Nair , Edited by Siddharth Suvarna  | Thursday October 13, 2022","iQoo Neo 7 will be launched in China on October 20. Ahead of the official launch, the company has started teasing the smartphone and revealed a few of its specifications. The iQoo Neo 7 will be powered by the MediaTek Dimensity 9000+ SoC. It is also teased to include 8GB of RAM and 256GB of onboard storage."
"Watch: Arshdeep Singh's Warm Gesture Wins Hearts, Signs Bat For Fan In India Vs Western Australia Practice Match","NDTV Sports Desk   | Thursday October 13, 2022",Arshdeep Singh made a fan's day during the practice match between India and Western Australia on Thursday. The India pacer autographed a bat for the fan who had come to attend the match.
IIM Kozhikode Achieves 100 Per Cent Summer Internship Placements For Batch 2024,"Edited by Arpita Das  | Thursday October 13, 2022","The IIM Kozhikode placement season attracted offers from 122 recruiters for 541 students from three full-time PGP programmes, comprising 47 per cent women candidates and 45 per cent non-engineering candidates."
Watch: How To Make Sooji Sandwich For A Quick Meal - Recipe Video Inside,"Somdatta Saha   | Thursday October 13, 2022","This sooji sandwich is easy to make, healthy and makes for a perfect meal any time of the day."
Karwa Chauth 2022: Neetu Kapoor Sends Festive Greetings To Daughter-In-Law Alia Bhatt And Daughter Riddhima,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Neetu Kapoor shared a throwback picture from Alia and Ranbir's wedding
Viral Video: Zomato Delivery Agent Breaks Into Garba Dance On Duty,"Vaishali Kapila   | Thursday October 13, 2022",Viral Video: A Zomato delivery executive was seen breaking into some 'garba' moves while on duty. Take a look at the heart-warming video.
"Punjab NEET UG Counselling 2022: Last Date To Register For MBBS, BDS Programmes Today","Written by Mridusmita Deka  | Thursday October 13, 2022",Punjab NEET Counselling 2022: NEET UG 2022 qualified candidates yet to register for admission to MBBS and BDS state quota seats of Punjab can apply online at the official website of BFUHS – bfuhs.ac.in.
KCET Counseling 2022: Round 1 Mock Allotment Result Out; Direct Link Here,"Written by Arpita Das  | Thursday October 13, 2022",KCET 2022 counselling round 1 mock seat allotment result is available on kea.kar.nic.in. To download the result candidates will need their PCET number.
Spice Up Your 2-Minute Noodles With These 7 Exciting Recipes,"Priyaja Bakshi   | Thursday October 13, 2022","If you are looking for easy ways to make your Maggi even more delicious, then we have found some exciting recipes for you to try."
Karwa Chauth Throwback: Sridevi And Other Stars In A Memory Shared By Sister-In-Law Maheep Kapoor,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Maheep Kapoor shared throwback pictures from celebrations over the years
,,
"Phone Bhoot Song Kinna Sona: Katrina Kaif, Ishaan Khatter And Siddhant Chaturvedi Show Killer Moves","Written by Jyothi Jha  | Thursday October 13, 2022, New Delhi",The film will release in theaters on November 4
"Liam Livingstone, Will Jacks Earn Maiden Call-Up As England Announce Squad For Pakistan Tests","Agence France-Presse   | Thursday October 13, 2022",White-ball specialist Liam Livingstone has been given the chance to shine with the red ball for England's Test tour to Pakistan as opener Alex Lees was dropped from the 15-man squad announced
Mohammad Nawaz Steadies Ship As Pakistan Squeeze Past Bangladesh In T20I Series,"Agence France-Presse   | Thursday October 13, 2022","Litton Das, who brushed off an early leg strain to put in a gutsy performance, and captain Shakib Al Hasan both chalked up half centuries for Bangladesh to set Pakistan 174 to win in Christchurch."
,,
"Rogan Josh, Dum Aloo And More: Anupam Kher's Kashmiri Feast Will Make You Slurp","Gauri Rohatgi   | Thursday October 13, 2022","Actor Anupam Kher enjoyed a hearty Kashmiri feast, and we couldn't help but feel an immediate urge for some."
"Karwa Chauth 2022: Shibani Dandekar Reveals Why She ""Didn't Fast"" For Husband Farhan Akhtar","Edited by Pranita Chaubey  | Thursday October 13, 2022","After dating for more than five years, Shibani and Farhan Akhtar got married on February 19"
JEECUP Counseling 2022: Round 6 Seat Allotment Result Today; Document Verification From October 14,"Written by Arpita Das  | Thursday October 13, 2022",JEECUP 2022 counselling round 6 seat allotment result will be declared today on the official website- jeecup.admissions.nic.in.
"Maharashtra CAP 2022: MHT CET Round-1 Web-Option Entry Starts For BE, BTech Admission","Written by Mridusmita Deka  | Thursday October 13, 2022",Maharashtra CAP 2022: Candidates will have to enter their preferences in MHT CET web-option entry for BE and BTech courses and colleges prior to the MHT CET 2022 CAP rounds.
"Karwa Chauth 2022: Mouni Roy Shows Off Her Mehendi - ""Firsts Are Always Special""","Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi","""Happy Karwa Chauth beauties,"" wrote Mouni Roy"
Why Billionaire Gautam Adani-Led Group's Stock Prices Are Falling,"Equitymaster   | Thursday October 13, 2022",Adani group stocks have witnessed a sell off. Whats behind this?
Wipro Shares Fall 6% After Reporting Lower Quarterly Profit,"Press Trust of India   | Thursday October 13, 2022, New Delhi",Shares of Wipro slumped more than 6 per cent on Thursday after the IT services major reported a decline in profit for the September quarter.
"Dark Chocolate Maggi Is The Latest Bizarre Recipe, Dare To Try It?","Aditi Ahuja   | Thursday October 13, 2022","Viral Video: We all love maggi, but recently a bizarre dark chocolate maggi has left foodies confused."
Shilpa Shetty Shares Glimpse Of Her Sargi And Karwa Chauth Preparation - See Pic,"Somdatta Saha   | Thursday October 13, 2022",Shilpa Shetty Kundra has shared a glimpse of her Karwa Chauth celebration. Take a look.
CA Directors Contemplate Lifting David Warner's Captaincy Ban,"Press Trust of India   | Thursday October 13, 2022","CA also remained undecided whether to lift a ban on playing Afghanistan in bilateral matches before a three-match ODI series early next year, according to the report."
"CBSE Class 10 Sample Paper Of Social Science Here; Marking Scheme, Key Points","Written by Mridusmita Deka  | Thursday October 13, 2022",CBSE Sample Paper 2023: The CBSE Class 10 Social Science sample papers contain the specimen questions and the format in which 2023 board exams will be held.
India To Have New Team After 2022 T20 World Cup? Ravi Shastri Makes Bold Claim,"Sahil Bakshi   | Thursday October 13, 2022","Former India head coach Ravi Shastri is of the opinion that there will be an all-new Indian team after the T20 World Cup 2022. In comparison to the 2021 T20 World Cup, only a few changes have been made to the Indian roster this term."
,,
Rakul Preet Singh Shares Her Diet Secrets And Here's What She Revealed,"Priyaja Bakshi   | Thursday October 13, 2022",Rakul Preet Singh's foodie fans asked her questions about her food preferences and we got to know some eye-opening things about the actress!
Drishyam 2: Tabu Introduces Akshaye Khanna. See New Poster,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi","Tabu shared a poster, introducing Akshaye Khanna's character in the film"
IIITDM Kancheepuram Appoints Professor M V Kartikeyan As Its New Director,"Edited by Arpita Das  | Thursday October 13, 2022",M V Kartikeyan is a professor at IIT Roorkee. He graduated from BHU and IIT BHU with a Master's degree in 1985 and a PhD in 1992.
,,
Women's Asia Cup: India Thrash Thailand By 74 Runs To Enter Final,"Press Trust of India   | Thursday October 13, 2022",India beat Thailand by 74 runs in Sylhet to enter Women's Asia Cup final on Thursday
Karwa Chauth 2022: City-Wise Moonrise Timings In India; How To Break The Fast,"Somdatta Saha   | Thursday October 13, 2022","Hindu married women, especially in the northern part of India, are celebrating the festival today (on October 13, 2022). Find the moonrise timings below."
World Sight Day 2022: Genetic Predisposition To Glaucoma,"Dr. Sirisha Senthil   | Thursday October 13, 2022","World Sight Day 2022: A lot of glaucoma cases are not diagnosed in time due to poor attention to family history. In general, an average individual has a 3.5% risk of developing glaucoma in their lifetime."
What Separates Virat Kohli From Rohit Sharma As Captain? Ex-Kiwi Star Answers,"NDTV Sports Desk   | Thursday October 13, 2022","Rohit Sharma has had a stupendous start as the captain of the Indian team since taking over the team's baton from Virat Kohli. The Hitman will be leading the Indian team in the T20 World Cup 2022, hoping to do what Virat couldn't in ICC events."
Watch: This Multi-Purpose Chocolate Sauce Needs Just 2 Ingredients To Make,"Somdatta Saha   | Thursday October 13, 2022",This chocolate sauce recipe by chef Pankaj Bhadouria is super easy to make.
Tamil Nadu TNEA Counselling Provisional Allotment For Upward Opted Candidates Out At Tneaonline.org,"Edited by Mridusmita Deka  | Thursday October 13, 2022",TNEA 2022 Counselling: The TNEA round-2 provisional allotment for upward opted candidates is out at tneaonline.org. Applicants will have to login to download the TNEA allotment order.
"Things Ira Khan Discovered After ""Stalking"" Herself On Instagram","Edited by NDTV Movies News Desk  | Thursday October 13, 2022, New Delhi",Ira Khan is engaged to fitness trainer Nupur Shikhare
India vs Western Australia Practice Match Highlights: India Lose To Western Australia In Second Practice Game,"NDTV Sports Desk   | Thursday October 13, 2022","India vs Western Australia, Practice Match Highlights: KL Rahul scored a brilliant 75 but India went down fighting against Western Australia in the second practice match at the WACA Ground in Perth."
About Last Night: Alia Bhatt Pictured With Husband Ranbir And Mother-In-Law Neetu Kapoor,"Written by Pranita Chaubey  | Thursday October 13, 2022, New Delhi",Alia Bhatt and Ranbir Kapoor were twinning and winning
